,Brand,Model,Variant,Year,Fuel,Transmission,KM_driven,No_of_Owners,price
0,Ford,Fiesta,S 1.6,2009,Petrol,Manual,"75,000 km",3rd,195000
1,Maruti Suzuki,S-Presso,VXI Opt,2020,Petrol,Manual,"12,000 km",1st,465000
2,Maruti Suzuki,Celerio,VXI MT,2019,Petrol,Manual,"16,000 km",1st,450000
3,Maruti Suzuki,Swift,LXI Option,2018,Petrol,Manual,"42,500 km",1st,435000
4,Honda,Accord,2.4 Elegance Manual,2011,CNG & Hybrids,Manual,"95,000 km",2nd,425000
5,Honda,City,2011-2013 V MT,2013,Petrol,Manual,"62,000 km",1st,450000
6,Maruti Suzuki,Zen,LXI,2004,Petrol,Manual,"35,000 km",1st,70000
7,Toyota,Glanza,V,2019,Petrol,Manual,"19,500 km",1st,750000
8,Maruti Suzuki,Swift,AMT ZXI Plus,2018,Petrol,Automatic,"9,700 km",1st,745000
9,Nissan,Micra,XV CVT,2015,Petrol,Automatic,"28,000 km",1st,450000
10,Nissan,Terrano,XE D,2014,Diesel,Manual,"57,500 km",1st,439000
11,Mitsubishi,Pajero,2002-2012 2.8 SFX BSIV Dual Tone,2010,Diesel,Manual,"110,000 km",1st,750000
12,Toyota,Fortuner,3.0 4x4 Automatic,2013,Diesel,Automatic,"64,000 km",2nd,1500000
13,Maruti Suzuki,Wagon R 1.0,Wagon R 1.0 LXi CNG,2010,CNG & Hybrids,Manual,"71,000 km",1st,255000
14,Volkswagen,Polo,1.0 MPI Trendline,2019,Petrol,Manual,"4,500 km",1st,565000
15,Hyundai,Creta,1.4 E Plus Diesel,2018,Diesel,Manual,"55,000 km",1st,950000
16,Hyundai,i20,1.2 Magna Executive,2013,Petrol,Manual,"67,000 km",2nd,350000
17,Hyundai,Santro Xing,GLS,2011,Petrol,Manual,"33,000 km",1st,190000
18,Maruti Suzuki,Vitara Brezza,VDi,2019,Diesel,Manual,"24,000 km",1st,850000
19,Hyundai,EON,Sportz,2015,Petrol,Manual,"82,000 km",1st,325000
20,Mahindra,TUV 300,T8,2015,Diesel,Manual,"85,000 km",1st,690000
21,Mercedes-Benz,New C-Class,C 200 CGI Avantgarde,2012,Petrol,Automatic,"62,000 km",2nd,1125000
22,Hyundai,i20,2009-2011 Sportz Option,2010,Petrol,Manual,"61,000 km",2nd,235000
23,MG,Hector,Hybrid Sharp MT,2019,Petrol,Automatic,"5,200 km",1st,1500000
24,Maruti Suzuki,Ertiga,VDI,2012,Diesel,Manual,"72,000 km",1st,620000
25,Maruti Suzuki,Swift Dzire,ZDI,2010,Diesel,Manual,"85,000 km",3rd,195000
26,Tata,Hexa,XE,2018,Diesel,Manual,"53,000 km",2nd,900000
27,Audi,A5,Sportback Diesel Automatic,2019,Diesel,Automatic,"14,785 km",1st,505000
28,BMW,X4,M Sport X xDrive20d,2019,Diesel,Automatic,"3,900 km",1st,5100000
29,Maruti Suzuki,Wagon R,CNG LXI Opt,2020,CNG & Hybrids,Manual,"4,700 km",1st,600000
30,Maruti Suzuki,Baleno,1.2 Delta,2016,Petrol,Manual,"62,000 km",1st,490000
31,Hyundai,Verna,VTVT 1.6 SX Option,2013,Petrol,Manual,"38,000 km",1st,500000
